gene,SubGroup-20220223-122243_log2FoldChange,SubGroup-20220223-141121_log2FoldChange,SubGroup-20220223-145715_log2FoldChange,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue
PLIN1,1.74344188662309,1.5022098977292273,2.298750286468614,1.74344188662309,1.8219609893610054,-1.126938892687997,0.0005338088070017068
FXYD1,1.1382443164713296,1.207300521301784,2.0323388694776705,1.207300521301784,1.396296057138142,,
POU2AF1,-1.54161955850307,-1.2179889846189225,-1.4738491423284485,-1.4738491423284485,-1.4268267069447225,,
POU5F1B,1.236745891762304,1.117177712553042,1.155218522265716,1.155218522265716,1.1660901622116946,,
PPBP,2.2363741104100887,5.1800564308216845,-1.3607202414165869,2.2363741104100887,2.0730211025563188,1.3431816819924638,0.024313385528047956
PPP1R1A,1.215101633951139,1.4124020118507044,1.648561768714239,1.4124020118507044,1.4221168565916966,,
PRKAA2,1.3928279593919686,1.0133403000282406,1.683395931316205,1.3928279593919686,1.3705980375320959,,
RELN,1.0910801733060294,1.122620130630525,1.8691493700726147,1.122620130630525,1.3013674511599236,,
PTGER2,-1.73223822022709,-1.4412937595625235,-1.9280340347014553,-1.73223822022709,-1.7084510586795396,,
RAB27B,-2.4135869286063483,-1.6491298389178761,-2.2087602301771603,-2.2087602301771603,-2.1200593069696363,,
RAP1GAP,-1.066771066701276,-1.1173874881708197,-1.3387214736468747,-1.1173874881708197,-1.1600668791724476,,
RASGRF1,1.263870151572363,1.251411644432475,1.9802811309005206,1.263870151572363,1.4398582696194304,,
RBP1,1.4217938701889663,1.6616286873161257,2.112364061660188,1.6616286873161257,1.7143538266203513,,
RBP2,1.4514944595426527,1.4752107067032159,1.2185571554146915,1.4514944595426527,1.3991891953008033,,
SCN5A,2.102987507793169,2.1880765694668973,2.5700346729907038,2.1880765694668973,2.262293829929417,,
SCT,1.400794149014784,1.552298515522472,2.4906582699204978,1.552298515522472,1.7490123624950564,,
CCL25,-3.5752640166236764,2.447146224034047,-2.5121011337277133,-2.5121011337277133,-1.5380800150112641,3.713125471423056,2.4408104560524433e-08
SEMG1,-3.4951194419509264,-1.8917823932907665,-3.6290009968955004,-3.4951194419509264,-3.12775556852203,,
SFRP5,2.430662571005949,2.508656868066428,2.718861703274498,2.508656868066428,2.5417095026033256,,
SFTPB,2.2350454750922135,3.286976582822189,2.211779275595494,2.2350454750922135,2.4922117021505272,-3.6375079371602816,8.54899009405906e-14
SFTPC,5.374967006057061,5.279785184656259,5.743217090977433,5.374967006057061,5.4432340719369545,-7.944155877693706,2.6362571228610287e-16
ST3GAL4,-1.1272874211881114,-1.5538340450269255,-1.4252601955312523,-1.4252601955312523,-1.3829104643193852,,
SLC1A7,1.9952246968559348,1.0164650211258772,2.0051271342079175,1.9952246968559348,1.7530103872614162,,
SLC6A4,2.1969779964662512,2.18128042437206,1.9948532316439522,2.18128042437206,2.1385980192135805,,
SLC18A1,-1.8051472544017886,-1.5041450362387176,-2.157776555104135,-1.8051472544017886,-1.8180540250366075,1.247549640359494,0.004414738493324932
SLIT1,1.491243118458492,2.0875078471413104,1.5363201694300828,1.5363201694300828,1.6628478261149917,,
SNAP25,1.2082979137813636,1.449115102000401,1.8531951535002822,1.449115102000401,1.4899308178206119,,
SPRR1A,-2.966421637887494,-1.775460461233831,-4.018555060721228,-2.966421637887494,-2.931714699432512,,
SPRR1B,-3.745843709328414,-1.791221443410696,-3.3241603657269865,-3.3241603657269865,-3.0463464710482704,,
SPRR3,-5.009962415864282,-3.4732922384140865,-4.513192496418516,-4.513192496418516,-4.37740991177885,,
SULT1C2,-1.1495210817814623,-1.1860738154414199,-1.56857910880241,-1.1860738154414199,-1.272561955366678,,
SERPINA7,1.4391899583311862,1.027999852304851,1.4444613445636196,1.4391899583311862,1.3377102783827106,,
TCN1,-2.078322547366755,-1.9590987159528834,-2.951656393728003,-2.078322547366755,-2.266850051103599,1.6234169184213714,0.0006749465176722887
TFF1,-2.354099983246477,-2.253115695464709,-2.622088997611847,-2.354099983246477,-2.3958511648923775,,
TFF2,-3.241787846718523,-2.112404156319137,-3.104544589324052,-3.104544589324052,-2.890820295421441,1.0328162475665665,0.0399045802286096
TCHH,1.205379829657941,1.4957390349906137,1.1805560881418897,1.205379829657941,1.2717636956120963,1.0059215170748212,0.0034927369221624204
TM4SF4,-3.3012860166042293,-1.3409483958846666,-2.89459629736941,-2.89459629736941,-2.6078567518069287,1.7067986543245401,0.0004119427475377442
TNNC2,2.156064639342001,1.820813199147865,1.8545031809019934,1.8545031809019934,1.921471050073463,,
TNNT1,-2.2453150048657657,-1.0229935993645085,-2.0022484264487788,-2.0022484264487788,-1.8182013642819577,,
UGT2B4,-2.9011756423563386,-2.9664217676341793,-4.574114287415213,-2.9664217676341793,-3.3520333662599775,2.532570403273267,0.0008176921577893265
VGF,1.5524001632882778,1.9879791333414367,1.583004683024457,1.583004683024457,1.6765971656696572,,
XDH,-1.2539999064380327,-1.5385215210537597,-1.3559435557845023,-1.3559435557845023,-1.3761021347651994,,
XPNPEP2,1.402407369147985,1.7369063131033942,1.1261207095831185,1.402407369147985,1.4169604402456208,,
SLC30A2,2.4208696488548753,1.7083696752394937,1.9674244915621795,1.9674244915621795,2.016022076804682,,
IL1R2,-2.049320269644182,-1.531556091409405,-1.9222507531021957,-1.9222507531021957,-1.8563444668144946,,
AP3B2,2.205056037395453,2.5477277511454735,4.02236548159438,2.5477277511454735,2.8307192553201945,,
SYN3,2.2524920695267143,1.9691840172526616,1.8070630189077885,1.9691840172526616,1.9994807807349566,,
BARX2,-1.682295039448124,-1.2942615198098855,-1.8278461307821285,-1.682295039448124,-1.6216744323720653,,
SLC4A4,-2.174120404082734,-1.6238696480716694,-2.125425857883319,-2.125425857883319,-2.0122104419802604,,
TNFRSF11A,-1.1988514277510647,-1.188757741061257,-1.2845052908373584,-1.1988514277510647,-1.2177414718501862,,
ALDH1A2,-1.4631018818078598,-2.0028856379900133,-1.5144894256319041,-1.5144894256319041,-1.6237415927654204,,
FCGBP,-1.3574196521839101,-1.626570057632181,-2.2332310724424427,-1.626570057632181,-1.7109477099726789,,
VNN1,-2.804438853386548,-1.745760220531363,-3.001378282895925,-2.804438853386548,-2.589004052550096,,
CDK5R2,1.0522580780012036,1.8103012931091509,1.1021217625380764,1.1021217625380764,1.2667007240466268,,
BRSK2,1.1576101454272985,1.6141528828348142,1.346506694507267,1.346506694507267,1.3661941043191619,,
RGN,1.3705112572052438,2.0864231742783943,1.5492331913679727,1.5492331913679727,1.6388502035548957,,
NEURL,-1.1893000079710725,-1.6365128130937177,-1.5899861226341025,-1.5899861226341025,-1.5014462665832489,1.0201265317365984,0.0006713011603119744
SLC28A2,-1.2721676572182326,-1.1378637147466646,-1.0844158868450666,-1.1378637147466646,-1.1580777433891571,,
SLC16A7,-1.5580499072778558,-1.2149449501170806,-1.4343287666738587,-1.4343287666738587,-1.4104130976856633,,
GCNT3,-1.8519906299577615,-1.1361245382742566,-1.9264169708119654,-1.8519906299577615,-1.6916306922504363,,
GPR55,-1.1747031047169638,-1.1977935400993172,-1.0496262342289966,-1.1747031047169638,-1.1492064959405603,,
KL,1.7670035678101619,1.2748412365064588,1.9981809074106953,1.7670035678101619,1.7017573198843694,,
ADIPOQ,2.739544818944782,3.5854850936900124,4.787715832132624,3.5854850936900124,3.674557709614358,-1.7464510823220318,0.014232419249081684
NRXN2,1.588340031477373,1.1254593385798146,1.843146645048287,1.588340031477373,1.5363215116457118,,
FAM189A2,-1.7008210182185834,-1.292070454272429,-1.6005717705729279,-1.6005717705729279,-1.548508753409217,,
CLCA2,-2.3078732853191033,-1.3960130647478994,-1.135229560428224,-1.3960130647478994,-1.5587822438107817,1.7050258057541507,0.0003605211444603342
TOX,-1.1798894615770084,-1.2169851729335919,-1.2926632083096952,-1.2169851729335919,-1.2266307539384718,,
HS3ST4,1.7577204172934486,3.4186585047092417,2.453487353229723,2.453487353229723,2.520838407115534,,
FGF19,1.1431705187329457,1.693438001708684,1.472139699333449,1.472139699333449,1.445221979777132,2.069008607721773,1.5222127087770533e-05
NR1H4,-1.4192577033937603,-1.0535520392739441,-1.0763689770466425,-1.0763689770466425,-1.1563869241902474,,
FGFBP1,-1.326859312220488,-1.1312426803570768,-1.2510015494513826,-1.2510015494513826,-1.2400262728700824,,
TSPAN1,-1.1403894365384386,-1.2769315928469398,-1.3342162688045687,-1.2769315928469398,-1.2571172227592218,,
CHST4,-1.6895181072326835,-1.059744453705833,-2.2828920054134425,-1.6895181072326835,-1.6804181683961608,,
DHRS9,-2.0157730511700116,-1.4612220359993378,-1.5238682816735445,-1.5238682816735445,-1.6311829126291095,,
PRG4,1.3916986772410127,1.4843009548316446,2.1441689259185415,1.4843009548316446,1.626117378205711,-1.2346205621531126,8.005770417004576e-06
B3GALT5,-2.227563581907454,-1.4284161334847865,-2.2009182355274737,-2.2009182355274737,-2.014454046611797,,
SYCP2,1.528854318953734,2.02247972432014,2.017636623789428,2.017636623789428,1.8966518227131828,,
AGR2,-1.4897211179455716,-1.0225421387009113,-1.7861809427862803,-1.4897211179455716,-1.4470413293445836,,
IGF2BP1,1.9763083603361051,2.9694316581820215,1.7282508442863613,1.9763083603361051,2.162574805785148,,
SIX2,1.3331137210470543,1.001971593760512,1.409590449385867,1.3331137210470543,1.2694473713101218,,
IQGAP2,-1.0032316931400802,-1.0527287801403677,-1.1203665028156602,-1.0527287801403677,-1.057263939059119,,
WASF3,1.64449309558431,1.3311957458482253,2.04919490780656,1.64449309558431,1.6673442112058512,,
ALDH1L1,-1.9746290667286044,-2.055582093708447,-2.2122093361939057,-2.055582093708447,-2.074500647584851,,
RUNDC3A,1.1333171162354783,1.2119094334229097,1.8056690731038993,1.2119094334229097,1.3407012640462992,,
KLK11,-1.641199523661575,-1.2832481965726716,-1.7785005965470002,-1.641199523661575,-1.5860369601107054,,
WIF1,3.6300259159047834,3.99975065602097,4.831367507455172,3.99975065602097,4.115223683850474,,
ANXA10,-5.51674265439979,-4.376076002019781,-6.158575521456366,-5.51674265439979,-5.392034208068932,,
SLC6A14,-1.7937772400690553,-1.0485754728721717,-1.4335661543110538,-1.4335661543110538,-1.4273712553908335,,
CLCA4,-1.5307920238013246,-1.9739004890571525,-1.142762902052781,-1.5307920238013246,-1.5445618596781456,,
NINL,1.675734604775485,1.3337736760175558,1.6943909509738522,1.675734604775485,1.5949084591355944,,
FSTL4,1.0367768432449669,1.1377740834393395,1.5440473214074135,1.1377740834393395,1.2140930828827647,,
NPTXR,1.2084588706689527,1.2840224622715757,1.5853518331750076,1.2840224622715757,1.3404639070967779,,
CHST5,-1.8128207017615559,-1.5493124742260256,-2.1561996433805373,-1.8128207017615559,-1.8327883802824187,,
VSIG2,-1.0570823554845157,-1.4260180014540513,-1.1563219599168733,-1.1563219599168733,-1.1989360691930784,,
SMPX,1.3323152184507003,1.3872827173264015,1.2347850727152552,1.3323152184507003,1.3216745567357644,,
SPDEF,-1.519129170299594,-1.3543512837140324,-1.8757086206716789,-1.519129170299594,-1.5670795612462247,,
KRT23,1.895697195304615,1.7560120440068527,1.326065173584054,1.7560120440068527,1.6834466142255937,,
ABCA12,-3.7574876023067456,-2.674999776455164,-3.0082856370359647,-3.0082856370359647,-3.1122646632084594,,
FBXO2,1.2323691283817644,1.4374391463833067,1.3044421277882525,1.3044421277882525,1.319673132585394,,
GALNT8,-1.0901220640167066,-1.3045872383146446,-1.9231005851395016,-1.3045872383146446,-1.4055992814463742,1.0257909841486847,0.001394823678153184
CACNG4,1.8654197923982745,2.2260842186168897,1.6815885967962085,1.8654197923982745,1.9096281000524118,,
GPR81,1.0618619608809217,1.4351744339747754,1.3160707873506021,1.3160707873506021,1.2822944923892254,,
SRPX2,1.0313421644667509,1.0541216878383561,1.0991606586865408,1.0541216878383561,1.059686549707501,,
SPINK4,-1.8518473825591897,-1.8522187510835424,-2.782096149569791,-1.8522187510835424,-2.084595258574016,,
PCSK1N,2.6492705729188124,2.751477747306614,2.9709058451874535,2.751477747306614,2.780782978179874,,
SCG3,2.9564529061454485,3.195490834720299,3.354629030167351,3.195490834720299,3.1755159014383496,1.2915129500321896,0.003176182331789795
C6orf15,1.6537481076645484,2.6164586506986653,1.3086422316600972,1.6537481076645484,1.808149274421965,-1.198180217733093,0.017282375233500638
C16orf5,1.0409494788971723,1.0852252527899584,1.2368748703610557,1.0852252527899584,1.1120687137095362,,
OBP2B,2.7618590999145542,3.218159925032033,2.118738727055978,2.7618590999145542,2.71515421297928,2.225171626007013,0.0024737889707098105
KLK12,-1.0249898530977877,-1.2994752447992675,-1.46342703980787,-1.2994752447992675,-1.271841845626048,1.3279441448808642,0.0008408127101916761
PLA2G3,-2.3358031633424186,-1.5032473063353615,-2.2321511517084223,-2.2321511517084223,-2.0758381932736563,,
DUOX2,-1.225747028924459,-1.8006406132950965,-1.48963990636243,-1.48963990636243,-1.5014168637361038,,
CLDN18,-5.8090480194009375,-3.8731085882284852,-4.144158833848243,-4.144158833848243,-4.492618568831477,1.956149348807729,0.0022787647957474037
PIPOX,1.8983341524275341,1.4160369446795582,1.5821284856761284,1.5821284856761284,1.6196570171148374,,
PLAC8,-1.373266709563839,-1.0549350202730587,-1.4426950909362264,-1.373266709563839,-1.3110408825842408,,
CES4,1.7441930786849356,2.142353826216915,2.1211078993567964,2.1211078993567964,2.032190675903861,,
DSCR6,1.9533161474974703,1.00952296821718,1.5632880784447978,1.5632880784447978,1.5223538181510614,,
L1TD1,-1.1004136447727177,-1.9661707894930374,-1.7272493115843146,-1.7272493115843146,-1.630270764358596,,
UGT1A1,-2.643350419494121,-2.341760239773574,-2.2351375325211498,-2.341760239773574,-2.3905021078906046,,
ZNF853,1.6691554513842042,1.2594756832096725,1.979206625101107,1.6691554513842042,1.644248302769797,,
ELOVL2,1.5918019052732382,1.0740255941937042,1.3587557541294915,1.3587557541294915,1.3458347519314815,,
ETNK2,1.5940255189454058,1.4742410851182428,1.7905985136178515,1.5940255189454058,1.6132226591567265,,
ITLN1,-1.7965502211144782,-2.372447482741357,-2.387609353060546,-2.372447482741357,-2.2322636349144345,,
ST6GALNAC1,-1.1660892177677105,-1.5784142297540518,-1.5265732143764033,-1.5265732143764033,-1.4494124690686423,,
LMO3,1.4201714368097451,1.0769683546738957,2.0314449448417986,1.4201714368097451,1.4871890432837964,,
NXF3,-2.7253394550351095,-1.6042210490172815,-3.5631753730968017,-2.7253394550351095,-2.6545188330460756,,
RPRM,1.5226674772929099,1.4611875103816618,1.8585709413125444,1.5226674772929099,1.5912733515700066,,
FMN2,2.057338932880759,1.4781727958905224,2.4976071487132376,2.057338932880759,2.0226144525913194,,
SALL4,1.626977890130347,1.348347436267809,1.6209821876305692,1.6209821876305692,1.5543224254148238,,
GPR126,-1.7084030352153374,-1.0199407990735023,-1.4503392445616141,-1.4503392445616141,-1.407255580853017,,
GALNTL1,1.4642019213713433,1.1564801732032766,2.0130360510700043,1.4642019213713433,1.5244800167539916,,
PCDH19,2.079799137826413,2.229504232906178,1.7550635896462063,2.079799137826413,2.036041524551303,-1.3142988464399992,0.00016758774016160827
KCNT1,3.992615665101614,2.0592504195963466,3.8225470949169,3.8225470949169,3.42424006863294,,
LY6G6D,2.594347209094585,1.1305530978786527,2.5644020158006717,2.5644020158006717,2.2134260846436455,,
SLC28A3,-1.3652548209508273,-1.1040534806013367,-1.3783892659200991,-1.3652548209508273,-1.3032380971057727,,
CLSTN2,1.9536500897036169,1.8521940168398148,2.654881923654227,1.9536500897036169,2.103594029975319,-1.6530690434371806,2.1396826335671207e-07
SLC13A3,1.4868358472161367,1.7998454689886443,1.5203195786861732,1.5203195786861732,1.581830118394282,,
REEP1,1.5535022831005585,1.0565670226292603,1.8933256562279086,1.5535022831005585,1.5142243112645715,,
COLEC11,1.0360364451915611,1.1108626169796982,1.3503056043264274,1.1108626169796982,1.1520168208693464,,
CAMKV,2.156294632134768,1.5171433495948197,1.856258012122075,1.856258012122075,1.8464885014934345,,
MLPH,-1.2005772292837509,-1.0324244977176955,-1.5191084103917059,-1.2005772292837509,-1.2381718416692258,,
MMP28,-1.3376997029204178,-1.3486546986413637,-1.2148078046838178,-1.3376997029204178,-1.3097154772915043,,
LASS4,1.4634403908167,1.4832463833184202,2.1228031072622513,1.4832463833184202,1.638184066178948,,
TLE6,-1.1126894405056416,-1.0666322397893742,-1.0952239275619078,-1.0952239275619078,-1.092442383854708,,
CATSPERB,-1.2883355186832466,-1.602751077811409,-1.6991180125706735,-1.602751077811409,-1.5482389217191845,,
BTNL8,-1.2560807865123074,-1.2338784000499752,-1.5934461644028086,-1.2560807865123074,-1.3348715343693498,,
