gene,SubGroup-20220203-152500_log2FoldChange,SubGroup-20220125-002321_log2FoldChange,SubGroup-20220124-145618_log2FoldChange,SubGroup-20220202-091554_log2FoldChange,SubGroup-20220128-143511_log2FoldChange,SubGroup-20220127-164231_log2FoldChange,SubGroup-20220127-225258_log2FoldChange,SubGroup-20220203-111436_log2FoldChange,SubGroup-20220206-000257_log2FoldChange,SubGroup-20220124-211720_log2FoldChange,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue
VCX3A,4.337624198254788,4.092290488400625,3.925629918520832,4.979696659560164,4.22768688547244,4.233940684582462,4.4838310174504485,5.095065343254817,4.111312135011957,2.095420373348805,4.2308137850274505,4.164846498989527,1.3402725336067696,0.008088046002889926
KRT20,5.074366558635815,3.583783187916452,2.6557915507695458,4.880987692542024,2.5115085072939465,2.009754719366312,2.0235819564171154,3.8414513362058056,2.9502063436312547,2.531865303376823,2.8029989472004004,3.169663282123227,2.3926882923409964,0.0003387787421110848
UGT1A7,2.7736498552108206,2.926795490888123,2.904373743523773,2.9450704500274636,2.216266259296356,2.2024309504844117,2.5677458795157984,3.022409541477384,2.6247314015717422,1.9854929875341587,2.6991906283912814,2.624377926174665,,
LY6K,3.252889260011757,3.083990060101708,2.5549221004186347,3.4526465544958076,2.5757360657744277,2.9054817646757938,3.6364021267815283,3.7671469213897844,3.649071727688573,1.741787982400151,3.1684396600567326,3.0716831112540817,,
SOHLH2,4.100274042021404,4.131867580107308,3.9635404514424675,4.101216741766267,4.083433497058422,3.43674308609837,3.7651580935869413,4.140476747043161,3.2440816699430526,4.2697076755538514,4.091853769539913,3.9389412140146502,,
CXorf48,6.082380501121734,5.0281502674002425,4.905821054633334,6.156117267632935,6.059746609069685,4.278683307602556,6.127503398344313,5.946196646098263,6.064168016686465,4.101796790201183,6.002971627583975,5.523048680579517,,
SLC6A15,5.358817695407159,4.800413068384508,3.9949123196461747,5.196704577449058,3.507579600721464,2.2955629080660804,5.188402614967854,6.071619618184945,5.248184941853566,4.672538064554812,4.994407841676181,4.666285750082891,,
CRTAC1,-2.8703319888581302,-2.716784759781815,-2.604515622459458,-2.7950806699791455,-2.37746958640137,-2.4864716171793524,-2.36433145881629,-2.4386652852891832,-1.8026965469406384,1.8329505425919064,-2.462568451234268,-2.0987241313043405,1.2322621284719018,0.003302841222076375
NXF2,5.337796355877309,5.913595447876901,5.753416619470658,6.615313370473066,6.68859897811257,6.056690241859926,6.902604348231023,4.515874539694534,6.501287419851456,3.3681152682339217,5.985142844868413,5.785312312231799,3.1837523809299504,0.0043942160012724624
RNF17,4.137725934759895,3.9336381167915153,4.027257127108655,4.609790547098271,5.951727924701887,4.354545353259345,4.12746197148184,3.759747096695979,3.5216202830065,2.353266849255,4.077359549295247,4.077649159404921,3.0426125214996955,0.002304561013451073
LGALS14,2.839967491584521,2.7792449493162703,2.596875385550595,2.8447981732099192,2.5077056000651874,2.6293741339422034,3.4348679835182883,3.624165440343838,7.03969377049884,6.434637369942189,2.8423828323972202,3.5976102845790066,4.850167359388049,0.0003301148976893877
RAB25,-2.8924329854280284,-2.3301885172454977,-3.1119191572364424,-2.027018392234821,-4.157219863149039,-3.56498675991996,-1.7866549703410437,-1.9300329767797062,1.7859000849172384,4.378007171180464,-2.178603454740159,-1.6195590746342725,1.9765186342674999,5.8313416290186224e-05
TSPY2,4.547580176389112,3.9001868462114686,4.007118095492151,5.793250656997082,4.516029819429193,3.8849149330667547,5.778212586319249,5.623307342625177,4.676080001662334,3.474059280314796,4.531804997909152,4.612049521492406,2.873476018887701,0.031124527878743778
PDIA2,3.5160093788767877,4.0785130069548785,3.5525484548306503,3.8761427487978244,3.659229319741958,3.7278169001574133,3.658065416443055,3.77556616301543,3.8251574056848514,2.1504119605507186,3.6935231099496857,3.592089442273023,,
ULBP2,2.2196927392549735,1.9952059489429008,1.9285507963472013,2.1252383211001504,1.7682201691396935,1.547663285507443,2.0845897912111124,2.203405650282469,1.8764355243605475,1.7869205208257883,1.961878372645051,1.954345556328848,-0.5666543635417203,0.044173527338597314
KIRREL2,2.7336244305314987,2.56294541558802,2.4854553898162464,2.7130856947196405,1.8980840783272388,2.0392100756878415,2.7546631635293433,2.8506078737916343,2.7192869621255213,3.3824710305243313,2.716186328422581,2.6232382220967185,,
PROK1,-1.8491549703207162,-1.8219554116831707,-1.8887222087540692,-1.7951592504879132,-1.5133802926511852,-1.6918547006200415,-2.0598745453003966,-1.9471929153146323,-2.3718470058768126,-1.6048561353700026,-1.8355551910019434,-1.8526866024891715,1.0402744374033892,0.007254223368367091
DSCR8,3.73220970838775,3.952571929946157,3.7398612983301236,4.337709948798043,6.924779743406217,6.285585723164642,3.894796388467103,3.8855375496529656,3.8047367820235154,1.5694366091725371,3.8901669690600342,4.183399331855371,,
NAA11,4.442008299924282,4.269020002600515,4.237724336843983,4.386245679460856,4.437805716518838,4.136682321847944,4.250069533917284,4.502467083374969,3.959017277990429,1.8599939035622932,4.259544768258899,4.067325356754572,,
IGFN1,-2.7165243961688774,-2.540328785559276,-2.637743269701733,-2.493528951500319,-2.677136360394297,-3.2746143486024852,-2.3526630495645757,-2.257302820072541,-1.9552756554910837,3.5998466914837217,-2.5169288685297975,-1.9838363467364788,,
PNMA5,6.000975620903838,6.691603823806965,6.238428071138422,6.617455136202846,7.249592977128715,7.332838954612364,6.390405006888911,5.688408423983799,4.902218961746395,1.7403159449842875,6.314416539013667,5.924241769128201,2.2439092658662503,2.640242702880935e-05
GTSF1,3.1903837338375447,3.318047112026393,3.0937470243159453,3.8290036088122403,3.7905489612196908,4.163426649678311,3.465764141233403,3.494164398727987,2.690771659586171,1.5780852664536416,3.3919056266298977,3.2732589256837485,1.5592916541969497,0.009956196274814536
ANKRD26P1,4.984387492671287,3.8687006027935893,5.415420549822215,4.3564926268853705,6.622762691159566,6.137431408783116,6.222088545152167,6.912942843805059,6.7846290847655375,4.9761458924370325,5.776425979302665,5.6415843379616,3.552154797497426,0.0005900774433408229
REG3G,3.5403387363171235,3.446413143325227,3.3318261708441876,3.455426911532968,3.2998102932756734,3.295903307950851,3.425923479980657,3.599849486820027,2.0739852855083623,2.8087519204107365,3.3788748254124226,3.2415548692162033,,
ZPLD1,3.4139787253688603,2.670394199007252,3.5587822292058497,2.7284814020980876,3.026203615509831,3.207411676727474,3.8375489254840334,2.793438911509489,4.638990176461365,4.257303302557947,3.3106952010481674,3.403929851361669,,
PNCK,3.05881020459417,3.03851897707039,2.4590153874155707,3.0997840050031535,2.3279780146910123,2.8527414467580696,3.0023900980343536,3.5862396696681667,4.6060376110266645,5.706873502221442,3.04866459083228,3.3442775915741163,1.556173547633107,0.012170856612133664
CBLN4,-2.5739128088662135,-2.4725404404444538,-2.482113931018851,-2.93054389431833,-1.787928628881249,-2.2159004096780346,-2.473611139574518,-2.2772450093991963,-2.7606389460221976,-2.6735990149817854,-2.4778625352966843,-2.4659906144074104,,
TRY6,2.630442895738553,2.5588227955231164,2.3606719133870318,2.558092050533767,2.3629265205402956,2.490410486185553,2.4879505745579387,2.596659099368219,2.1471278013942476,3.2139474968965005,2.5242512683596603,2.5392093547713532,,
CLEC2L,3.385662554270382,3.1968357627901316,3.0910157225104773,3.523955158709346,3.126444685067635,3.111853986817646,4.705777409019542,4.026189623782317,4.986706582542021,5.179110454293358,3.454808856489864,3.7989418905720655,1.3905774953984342,0.027862261651472202
FREM1,3.1513019456379245,3.110488953767765,2.4799954108353437,3.150620663808509,2.3458766111122937,2.128351323837472,2.7816953226959336,3.252385739498983,2.171029592319611,2.835957775183181,2.808826548939557,2.746957262512416,,
PAGE2,3.9733011693850875,3.871243509690589,3.8759235715089506,3.9543527840306694,5.770215168316971,4.375856823684484,5.402139407189349,3.9791116144821794,5.21509206298988,2.886569501143584,3.9762063919336335,4.2981829094868536,,
SCARA5,-2.1836655221807724,-2.437606473048682,-2.236695011722951,-2.386476637753922,-2.5421579937389516,-2.4648929615487645,-2.2452772446163647,-2.366632033496127,-1.78452852574301,2.3279751985333674,-2.305954639056246,-1.875082894942948,1.3565242376716828,0.0018623462773962546
SEPT14,6.644928050087225,6.592957479652111,7.3360599053105435,6.809128822557966,7.524554154034174,6.451460769830055,7.589870098457676,7.83267910960205,6.692267516900807,6.108773309673754,6.750698169729386,6.939397944166886,,
RTL1,3.0944569767913106,3.129044035746832,2.9717432895137232,3.1288722409145424,2.811460476642767,2.8059247398694223,2.9164567769078245,3.242480506295677,3.3270835339665634,2.550777006442157,3.0331001331525167,3.0010363378403038,1.453432480297178,0.029246457085612607
LIN28B,3.374369902768365,2.8855761285951784,2.8820759799578433,3.3580162307688672,3.146319430252469,2.9409478302383714,3.8414557014273103,3.479985223613048,3.5081025234089718,1.9807826190675288,3.2521678305106683,3.1499817636916934,,
PAGE2B,6.249357406630324,4.789827219102702,6.105256388000118,4.889538625981559,7.489950112496134,6.164538208395256,6.104764513535278,6.210046397146339,5.6876939462805085,2.9727377613087533,6.105010450767698,5.706247366331334,3.104293396848934,0.00013872982106065838
LOC440905,2.513188630444754,2.3347402129515236,1.9906348641881664,2.661188733149825,1.853171897712422,2.0758284893583423,2.9059450865713883,2.7725127825750278,3.714304761684933,3.079954194952265,2.5871886817972896,2.5898780304896305,1.2969159987621506,0.008406164903598513
CT45A1,6.808502419859742,4.603070199316199,4.281199018109258,8.154649986533252,6.093566001609223,4.477550921745105,8.07030052726065,8.171764373474854,8.527768561381079,7.0895907856690075,6.9490466027643745,6.657000854338431,2.7227945231951147,0.021283632480199436
RHOXF2B,5.633771007119769,4.936681191034068,4.734964801433584,5.9283679770283335,7.030490325584859,5.160509883619687,5.561116111976323,5.585590789100229,6.437683625088972,5.259369283708456,5.573353450538276,5.621990767839325,2.6494302481617344,0.0031750065936164058
CT47A1,7.881620816232353,7.989616141850961,7.734541840638839,7.864536572909651,11.507371525537515,7.9415139327014215,6.631021815156782,7.024652988985206,4.272758152724709,3.4748457948807765,7.799539206774245,7.283819889853859,,
TSPY3,4.566992514429201,3.144605528628345,3.2516857894191853,5.858844612069908,4.129149167519893,3.1240338754162287,5.591115885309623,5.907108525041471,5.286076446096719,3.4142086069289466,4.348070840974547,4.420171981075825,5.636992052264739,0.00018357722351061928
MAGEA9B,6.431756386580596,5.596218364722695,5.439321429389163,6.65488891119005,6.22007733928014,5.496669264797113,6.600245240797733,6.486664247737513,5.334245626262137,3.3788638243214026,5.9081478520014175,5.777008953370906,2.2956322540357963,0.00589068102342764
GAGE12J,3.349985735446856,2.3804946701515965,2.7748081168144827,3.7397291519432736,3.8740474945448233,2.657484430371652,3.920407456604049,3.550236768583452,5.372435304804325,3.317729988250098,3.4501112520151542,3.489770033593615,2.1950545416846032,0.01852897481255106
GAGE2D,4.314241185530387,4.121191459518507,3.856916418993678,4.590302488921481,5.382630218972164,4.305704034961104,4.839142247422289,4.891829615187527,4.949028159517421,2.222751574805443,4.4522718372259344,4.3569099310050845,3.1877476356730594,0.0038157496625041585
CECR7,2.6749399266978577,2.437352574050882,2.3498235803130045,2.49976788675167,2.3738779552860487,2.3844038972787374,2.5546640708222603,2.741845468086489,2.6374600959676155,1.9149526741206573,2.468560230401276,2.457968032706954,,
GAGE12D,3.3546791913444913,2.815459189956014,4.088444446940432,4.045279070851987,5.879147599074163,3.5420495424638005,3.9753598863168174,3.2348777581206454,5.347939643459001,3.9477887089126806,3.961574297614749,4.017509030459525,3.5145338788967746,0.0011905476661344385
