id	filename	md5	size	state
0f28466f-e1f7-4632-bcf2-7f961a36bfa0	0f28466f-e1f7-4632-bcf2-7f961a36bfa0/unc.edu.15acd388-f958-4f43-bc38-39bab4cb830e.1157164.rsem.genes.results	309edd51cdc445b9ea12dbc796a5c158	1509781	validated
0f7652ee-c27b-4efe-9242-7110f03bf62a	0f7652ee-c27b-4efe-9242-7110f03bf62a/unc.edu.d6f0abd0-ff39-4c30-a8ee-e74e6f3621bf.1132487.rsem.genes.results	0bd5558a0f9b4958d9e68665298bbbca	1519461	validated
11b34e2e-d7b6-43c3-9094-8a46cd4a89e1	11b34e2e-d7b6-43c3-9094-8a46cd4a89e1/unc.edu.6b52803e-274b-4a1b-910f-2d307932bbb2.1133020.rsem.genes.results	5c444851f3518ee5fdae96513f704928	1518955	validated
12368356-6a53-4fad-aadf-58ab91f171a2	12368356-6a53-4fad-aadf-58ab91f171a2/unc.edu.7b9569bc-f513-4b64-9a7c-7bb53b9be79b.1120852.rsem.genes.results	7bd05b2d0032c92e8ba7bd4d2c70c6b5	1520790	validated
1253631d-bdc0-43cd-8946-8d3f7e5ff1e0	1253631d-bdc0-43cd-8946-8d3f7e5ff1e0/unc.edu.97168a1f-abf8-414b-af10-b63f5daa7023.1174148.rsem.genes.results	93d194602961e952c2a30198221327c4	1529707	validated
1288ec99-b5c4-45d7-ae00-191e70f9139c	1288ec99-b5c4-45d7-ae00-191e70f9139c/unc.edu.0b743ba9-a340-46a0-9276-a5ddd3ee69d6.1114383.rsem.genes.results	dbde444ee76ff79b5150db43dba27b82	1513312	validated
13b7203e-ec77-4ab2-96e7-34aa1d40987a	13b7203e-ec77-4ab2-96e7-34aa1d40987a/unc.edu.1873a785-0f15-40ef-a7c9-1799ab482338.1161407.rsem.genes.results	b7495b91ec307a5598f46dc21845ec49	1528307	validated
1410cf7c-76dc-444a-a884-662ce463827c	1410cf7c-76dc-444a-a884-662ce463827c/unc.edu.9f440cd6-d55f-4cb6-a433-637ef1f9d38f.1145195.rsem.genes.results	bb82ce4e88b871ac42ff50d09c53754d	1524091	validated
1485a46b-dc61-4886-acec-7781ead6d378	1485a46b-dc61-4886-acec-7781ead6d378/unc.edu.4d28bcbc-dbdd-46f8-9329-49f359480a97.1141595.rsem.genes.results	9563737cc5ca697a40f745b8e45f32ba	1522443	validated
148c9874-806b-45ba-9fc1-15754e069e87	148c9874-806b-45ba-9fc1-15754e069e87/unc.edu.afaeb45f-d795-4fe0-b4ee-5b90816e6427.1142410.rsem.genes.results	fb2af952bfb0adeaac418c31908cb734	1521357	validated
14938b3a-f9cb-42c2-bb0e-e637a92597ab	14938b3a-f9cb-42c2-bb0e-e637a92597ab/unc.edu.39ca8590-3733-4b61-9a46-4ec5e6e0501e.1134975.rsem.genes.results	012f882cf56be77e8b6deac753e37af1	1529009	validated
15a6249c-04e5-44fa-8e22-0f0eb78b6c1a	15a6249c-04e5-44fa-8e22-0f0eb78b6c1a/unc.edu.aaec0cbc-a493-48f4-9cc7-32629880ee24.1347243.rsem.genes.results	86d2b8c1ca75010ea5a60faafda670b7	1500227	validated
1688e904-20b7-4e39-8b5b-4bfd737d4263	1688e904-20b7-4e39-8b5b-4bfd737d4263/unc.edu.ef7f2a68-bbfc-4458-9c3e-18c5d81ef7be.1132267.rsem.genes.results	8950c9c3fba0e44067c400c31296b039	1530016	validated
16a56459-d91e-41c1-871c-70d511004b07	16a56459-d91e-41c1-871c-70d511004b07/unc.edu.32336250-dc07-4e96-9a6c-3c7094fd5342.1170118.rsem.genes.results	2f5e7b695edd5891c59e586449cf281f	1515207	validated
1737bb14-77f4-4e0f-b9eb-1f7228481499	1737bb14-77f4-4e0f-b9eb-1f7228481499/unc.edu.184fe3c4-58bb-45c5-a9a5-9a8a56985f9f.1142626.rsem.genes.results	2252b5b4dae5fc3dfa0d0e0859935b2d	1512005	validated
17486211-76b8-4f30-9782-e2486f3f08cf	17486211-76b8-4f30-9782-e2486f3f08cf/unc.edu.f59f9272-412f-4884-9874-a6ff59ab1740.2233042.rsem.genes.results	a7bd3c6039f44ccfe8439c9a8ee892e9	1519787	validated
176a0961-c05d-452a-806d-6aee0b3da638	176a0961-c05d-452a-806d-6aee0b3da638/unc.edu.1fc2800f-3427-4134-8a02-fea3ecbd2656.1132440.rsem.genes.results	3d12d3d2d539c3f85adc2ae106c646d4	1516614	validated
183da4cb-6782-4baa-9940-0ef1a3968150	183da4cb-6782-4baa-9940-0ef1a3968150/unc.edu.fc5bb351-c5f7-4d8c-850c-13e69e13e04d.1170387.rsem.genes.results	bd0426eaa5ffcb24fdc6636dc2f98e2f	1508525	validated
