mRNA	logFC	FDR	Sub-0	Sub-1	Delta
HP	-0.7492791639615355	3.370248822240815e-05	780938.3229813664	450731.4527363184	585140.8137490018
ALB	-0.21467469251558735	0.13463178449183105	2469882.1428571427	2182094.4776119404	530221.1895675971
GLUL	-1.7135601981266089	3.021331483142243e-17	254083.77639751552	80496.78606965175	435387.8462244837
CYP3A4	-2.807845904378361	6.687546726271649e-19	111027.56521739131	17817.66169154229	311748.29426875355
CYP2E1	-1.5868392324665586	1.9498059907130595e-09	196240.93167701864	69527.07960199004	311402.80940088263
FGA	-0.41713849741766384	0.002289332076643956	535383.049689441	411275.43781094527	223328.88089033987
RBP4	-0.759913105146069	1.8604202073594397e-10	275282.2546583851	167005.0248756219	209190.59292906435
ADH1B	-1.5428866947515631	1.7857799643853512e-16	134106.950310559	45393.65671641791	206911.8293078705
SERPINC1	-1.1819624645847886	1.4758566952401217e-13	174977.15527950312	80689.57213930348	206816.42970019675
C3	-0.3890791731039062	6.462526181474238e-05	526941.4968944099	411905.3432835821	205021.96188581156
APOA2	-0.36936646718920674	0.024841083295991676	547902.7577639752	426294.2139303483	202376.90599850324
AMBP	-0.5709075287602868	2.564108834772901e-07	299982.0310559006	206656.5223880597	171262.00002261583
APOC3	-0.8003230136004758	4.6801962023742495e-07	210938.62732919256	118750.50746268657	168819.03790884707
APOC1	-0.6416939630412948	7.950244474069262e-08	242027.93167701864	158292.75621890547	155307.8626445138
TF	-0.3684756729381429	0.007717861847776237	359883.5652173913	285557.39800995024	132608.3388728563
ALDOB	-0.6249821756870967	0.0008356165445133736	207800.86335403725	131924.67164179104	129871.83568866328
APOA1	-0.377773396345567	0.03155399056919842	343242.70807453414	263062.74129353237	129667.96360016674
EPHX1	-0.795886075238357	1.686185921162188e-10	156503.76397515528	94826.10945273632	124559.1664702165
APOH	-0.5609155045296322	2.9953063064950034e-05	218907.6211180124	151674.49253731343	122788.67874479151
APOB	-0.4478569570585275	4.8930629721516855e-05	241972.68322981367	185341.13930348257	108369.14960259134
HPD	-1.319392919026608	8.062722040998401e-09	80793.2298136646	31787.383084577115	106598.0153214385
FGB	-0.31681763384770917	0.03675809107083981	320304.49689440994	262222.2935323383	101478.11281686787
FTL	0.23137053539858377	0.04592039094053992	436954.3043478261	517823.1592039801	101098.35134167224
CFB	-0.5161335266155033	2.659369162647836e-06	193763.80745341614	142599.67164179104	100007.997271379
CES1	-0.6138028950561665	0.00012429317476275967	160639.16149068324	105787.80099502488	98600.78238237642
VTN	-0.3089539117502499	0.004723130991889444	318460.4658385093	261781.19402985074	98389.60665861428
HPX	-0.7667528992156435	1.6868018524229677e-07	124144.53416149068	74600.1144278607	95188.18149009848
H19	0.9794818487898264	0.001734366324794839	93097.83229813665	219882.76119402985	91187.6368977041
ITIH4	-0.8085411241394717	1.0449233726742602e-10	112278.57763975156	65093.19402985075	90781.84738162567
KNG1	-0.7248439606111131	2.9596202849085507e-07	123283.3602484472	76358.37810945274	89361.19911993113
REG3A	-2.177327569024223	0.00013299626035139645	40658.18633540373	7634.577114427861	88526.19001459847
TTR	-0.7666067756044189	1.2249279592801033e-05	115026.78881987577	68617.28358208956	88180.31568533539
A1BG	-0.9972728615320284	7.321205559772365e-11	87862.55279503105	43616.09452736318	87622.93944740953
FGG	-0.29908016000206644	0.03808695708372504	284126.950310559	237431.31343283583	84976.73375978117
HRG	-0.6557568110636712	0.0015202877402815524	121253.53416149068	81179.88059701493	79512.83089193905
C4BPA	-1.1070295051564196	4.119876900104137e-13	70988.94409937889	34778.467661691546	78586.85565791215
SEPP1	-0.6074498248046277	9.816157942548299e-09	125741.76397515528	84416.45771144278	76381.81249733292
IGF2	0.6961561335938237	0.04237924828861058	105636.17391304347	179055.8407960199	73539.27039894908
PLG	-0.9291848378958412	3.4141718654052734e-10	77058.73913043478	40614.880597014926	71601.81202737095
C4A	-0.2597127755149401	0.016953139821633944	261425.29192546583	227569.96517412935	67895.48815576619
SAA2	-1.3931215143797988	5.252906526221501e-06	44504.739130434784	15070.457711442787	62000.50957446919
AQP9	-1.7862243324745595	5.2948851006440783e-20	34641.49689440994	10536.532338308458	61877.484666136916
SERPING1	-0.4922470956637544	1.7988428866705344e-07	121188.25465838509	88292.3880597015	59654.56638414952
ADH4	-1.3789461374676606	2.2259034327783257e-09	42510.09937888199	15452.004975124379	58619.13734187572
AOX1	-1.2447046774536294	8.004817498357437e-13	47060.36645962733	20672.298507462685	58576.258254980035
GAPDH	0.6732466967936044	3.216640152428216e-15	86438.51552795031	138812.76616915423	58194.445054935226
ITIH1	-0.6992250763372078	5.2557171426284356e-08	81964.45341614907	51694.58706467662	57311.60119684435
SERPINA1	-0.061724333709767126	0.5881237651127256	905907.5403726709	889683.1492537314	55916.539332157074
ITIH3	-0.6566972822690809	9.058690311722856e-07	84912.6149068323	56184.50248756219	55761.88343967781
CLU	-0.28414669431647627	0.004611214505308608	196029.09937888198	166479.53731343284	55701.02057834533
CRP	0.8266426320952414	0.004229772223613409	66316.4596273292	113201.41791044777	54820.01273757322
AHSG	-0.3558013189826608	0.04723300310196375	153078.0248447205	122047.59203980099	54465.363147012074
C1S	-0.5043732828663758	6.708305744362777e-07	101568.91304347826	73327.34825870646	51228.646108908586
APOC2	-0.3572197325674563	0.006727476460837856	140708.19254658386	114207.70149253731	50263.74291154084
ADH1C	-1.4650376983683073	3.9074817454197035e-12	33048.024844720494	12145.3184079602	48416.60225412795
DCXR	-1.2158412638856984	7.544003804482221e-18	38975.75155279503	17037.930348258706	47388.327028845284
SAA1	-0.9245743267628901	0.0012223624175210495	50997.57763975155	25214.54726368159	47151.051012811506
CFH	-0.49278755308802225	9.643778139430523e-06	93931.0	71737.184079602	46288.02764911102
CYP2A6	-0.8923526130340461	0.001829539131451388	51862.65838509317	26743.94527363184	46279.77872882997
HMGCS2	-0.677783465264715	2.05683092617397e-06	66835.32298136647	43507.572139303484	45299.87681239701
SERPINA3	-0.31000527379202514	0.05000475518662989	145850.96894409938	117425.51243781095	45214.569560347685
ACTB	0.4625522297893446	2.149884250715516e-12	97029.4596273292	138616.91542288556	44881.19290587631
ALDH2	-0.8197735602575205	5.172749398220317e-18	51547.8447204969	29535.3184079602	42257.56019012357
MAT1A	-0.909147861834362	2.464303782472352e-13	46443.335403726705	25832.353233830847	42223.85907875426
SLC27A5	-1.4773222638009604	1.5904164794384155e-19	28531.298136645964	10244.243781094527	42149.92195240994
FN1	0.2265626967807188	0.01941907104640229	179569.00621118012	216799.9552238806	40683.63830543862
APOE	-0.11961506470996315	0.2939093083187392	336082.5341614907	307330.4577114428	40200.53407161511
PEBP1	-0.5875706848491596	3.6835205263939984e-16	67889.3105590062	45960.94029850746	39889.76869909256
BAAT	-0.9074709950603377	4.51154545263891e-12	43776.47826086957	24178.402985074626	39725.88428762855
TAT	-0.9721854418178303	3.18276252890137e-05	40641.96894409938	20926.084577114427	39511.530534265796
CPS1	-0.4831706769925766	0.02689768066687263	78971.04347826086	57062.72139303482	38156.4925402015
CYP8B1	-1.6168091366639443	4.60103169061114e-12	23348.981366459626	7533.308457711443	37750.84640508811
ORM1	-0.18139923822037288	0.25239267970967355	205510.44099378883	185722.4527363184	37279.437442606184
CES2	-0.9809028097246035	6.888360436062882e-14	37959.51552795031	20586.109452736317	37234.595437151176
CYP2C9	-1.3556015299542634	3.9060681592656e-13	26990.83850931677	10895.990049751244	36588.82197797827
GATM	-0.6869104723769938	1.7272469606804244e-07	53027.99378881988	33850.9552238806	36425.484262682556
AGXT	-0.5910910640370048	0.0002602070525612781	60635.57763975155	41231.154228855725	35841.14810557917
AZGP1	-0.7595716490708126	1.4106251247057074e-07	46810.06211180124	28795.716417910447	35555.59607136804
FTH1	0.4320563907683066	1.0514729659203986e-07	79676.09316770187	111643.94029850746	34424.5652445566
CD74	0.7748153831468081	1.7073843483404516e-08	43497.7701863354	78301.07462686567	33702.74147295727
HSD11B1	-1.5067979651847978	1.9981964983864555e-10	21695.018633540374	8273.348258706468	32690.009931664907
F2	-0.4700396320577586	0.0001177350631444071	69186.53416149068	51540.71144278607	32520.413060618626
ITIH2	-0.2961221591727533	0.019287852361444764	109528.2049689441	94216.35820895522	32433.728545719616
SQSTM1	0.5799532493715875	5.984055325264249e-06	55441.6149068323	84485.10447761194	32153.544715625638
ALDH1A1	-0.5145247229268077	4.603099224137825e-05	62365.316770186335	46397.796019900496	32088.49733142272
ACTG1	0.5807188438758321	1.347560844158856e-14	55052.44720496894	81929.02985074627	31969.993493404847
ALDH1L1	-0.9215210160620552	1.505525369144317e-06	34418.5900621118	19048.696517412936	31717.45408546062
TMEM176B	-0.5439326737483283	8.820486992338814e-09	58193.69565217391	41475.164179104475	31653.452471383425
RPL8	0.590358935227288	1.44385001526267e-07	53487.24844720497	82011.40298507463	31576.67504152934
FMO3	-1.3214628224536424	1.1512208594803416e-16	23229.987577639753	9388.910447761195	30697.56494991088
SERPINF2	-0.5299772551550577	1.7044755280203148e-05	57728.93788819876	40677.149253731346	30595.02404500439
G6PC	-0.9808642597903149	2.4351740049227277e-08	30491.813664596273	16253.059701492537	29908.330239788433
SULT2A1	-0.9726528699162335	7.204158999600942e-08	30686.86335403727	16066.437810945274	29847.665710031644
CYP27A1	-0.8999614759526203	1.3618083257991605e-15	33053.01863354037	18329.741293532337	29746.443434130455
ADH1A	-0.9547011821219038	3.2794057795673115e-09	30646.627329192546	15354.303482587065	29258.37133922957
EEF1A1	0.30630928619569564	5.711559237037927e-05	95329.27950310559	119410.85074626865	29200.24355814623
MT2A	-1.0035021083271753	5.726739764922349e-07	29019.60248447205	15719.507462686568	29121.232275984235
SPP1	1.8178936004856865	2.406687223009018e-10	15370.24844720497	53565.40298507463	27941.476290048973
PAH	-0.7160472042568261	1.3105030484084388e-07	38731.0	23887.875621890547	27733.22426807113
CYP2C8	-1.4500257008066997	5.620103769522988e-14	18809.950310559005	7233.9900497512435	27274.91138120752
ANG	-0.9716093104945677	3.2733231463601773e-13	27978.745341614907	14413.58208955224	27184.40946986956
ENO1	0.9619153511965685	2.5686556521534237e-23	28256.062111801242	57384.16915422885	27179.939909705343
APCS	-0.6068959045717126	0.0002568056766639547	44320.372670807454	29804.18905472637	26897.8526630051
UGT1A4	-1.5481826114801216	1.056123062088261e-09	17332.267080745343	6470.6965174129355	26833.51451193927
PCK1	-0.6851796455598413	0.0014104623921276996	38614.701863354036	25229.373134328358	26458.00773613186
CPB2	-0.8985544906523758	1.1439085286466884e-15	29431.242236024846	16523.741293532337	26445.574876657996
CYP2D6	-1.1273412844533384	1.0870896308518588e-10	23386.037267080745	11274.194029850747	26364.045290944447
CFHR1	-0.6932999030806394	1.4645694679254007e-05	37862.08074534161	25209.33830845771	26249.776911176683
FGL1	-0.37512032999118433	0.030704323550353282	68283.1552795031	54913.572139303484	25614.399741286485
HPR	-1.0249533763174918	3.95074397473293e-09	24116.167701863353	11711.905472636816	24717.94750986369
