mRNA	logFC	FDR	Sub-0	Sub-1	Delta
ALB	0.23603765490689627	0.09804419700079844	2193116.4529411765	2413657.3854166665	517658.0644899658
HP	0.8036679145912078	1.0006544139066508e-05	432734.35294117645	743558.6041666666	347774.71500021097
APOA2	0.6380709685007343	8.158967011253944e-05	381857.03529411764	567613.4635416666	243651.88833893673
SERPINA1	0.25929409495727146	0.01568502403450282	836065.194117647	950762.2083333334	216786.76783401077
FGA	0.5192341292207646	0.0001346968568524134	391983.6176470588	532426.140625	203531.27237777572
C3	0.4202816179229666	1.5150749684965142e-05	409515.9823529412	510483.53125	172112.03962860716
APOA1	0.6512298692671151	0.00016772878270399224	237945.1588235294	352536.5104166667	154956.99467339
AMBP	0.6025366748438049	5.753130792515681e-08	203208.2882352941	287966.9739583333	122440.4462939956
APOC1	0.8567739434190662	3.0301788143267e-13	142338.67058823528	242634.203125	121952.0641009098
GLUL	1.2719628387885475	2.034792428688015e-09	93389.60588235295	214641.19270833334	118788.1082114613
RBP4	0.6841715145785804	1.7608422699590207e-08	170052.1588235294	255102.01041666666	116344.84305965141
FN1	-0.4560375369518973	7.81165025041604e-07	239554.70588235295	165432.81770833334	109245.93803582442
VTN	0.4256183781085958	8.021062851031223e-05	251925.96470588236	318035.109375	107224.320501561
SPP1	-1.794411836706255	7.339146216968133e-11	58391.99411764706	17263.630208333332	104779.28541358789
FGB	0.4074699988345161	0.006753495760640553	251668.07647058825	320271.5208333333	102547.1908261555
CYP2E1	1.567774285703576	7.489798976919226e-09	65403.01176470588	179433.44270833334	102537.16005227434
TF	0.3557092532920513	0.010321311123198146	287674.00588235294	346008.90625	102328.30582394493
FGG	0.44651231881041004	0.0016780918652165413	222285.03529411764	289998.3177083333	99253.0065460303
H19	-0.44673222105285476	0.1524700641552715	208418.22352941177	123719.20833333333	93107.13590518448
APOC3	0.7709849234434752	1.6134094201880087e-06	118237.8	196508.046875	91159.56118112494
APOH	0.5862154657876715	1.377476352905824e-05	148708.45882352942	210678.44791666666	87175.19845580206
SERPINC1	1.0153915793087587	7.244284467478113e-10	84038.15882352942	156788.74479166666	85331.63881002383
CFB	0.5876961213852294	8.041937463743211e-08	137799.9176470588	189752.71354166666	80984.47712838049
ALDOB	0.550855526332363	0.0035628217169048327	137752.85882352942	190389.64583333334	75881.92355102299
NTS	-4.15136507746595	2.19586489416515e-15	16839.123529411765	1140.078125	69905.34935513517
ACTB	-0.4759760438352611	1.5692544347215366e-13	145405.51764705882	97733.359375	69209.5430414653
APOB	0.3523346938598016	0.0016203661496874808	191916.38235294117	227007.21875	67618.79982300416
EPHX1	0.6922890659567481	5.2990576934501604e-08	97280.01176470588	144372.66666666666	67345.8884808497
GAPDH	-0.4775500978467073	4.083936573205309e-08	139280.2882352941	94480.82291666667	66513.3152748823
APOC2	0.6188654243686483	1.6053562597260285e-06	103329.91176470589	146060.84375	63947.309694239695
ADH1B	1.3263936557770655	8.389616238946474e-12	47560.370588235295	117865.00520833333	63083.773814641434
CD74	-0.7636371343725423	1.3639899958143493e-08	82595.85294117648	45314.385416666664	63073.260451055925
COL1A1	-1.76987040501476	2.0014425309051502e-20	35195.49411764706	10114.359375	62291.46342869461
ENO1	-0.9969669173464615	7.00371341757823e-27	62038.64117647059	28837.890625	61850.47285006914
C4A	0.26520623879180616	0.014583872735290087	229020.61176470589	254674.640625	60737.69505191612
APOE	0.20070946396598194	0.07123405836734116	302608.0294117647	335621.5885416667	60736.29537503739
CRP	-0.534185681777383	0.06210413962040456	111692.0294117647	75222.86458333333	59664.282880423045
SQSTM1	-0.6198262411868212	7.471374749505996e-07	90286.45294117647	54994.317708333336	55961.91275662022
HPX	0.7550287219396062	3.4469080269173273e-07	73308.91176470589	117288.42708333333	55350.33395648925
AHSG	0.46171482002846653	0.009501548302920253	117173.12352941177	152383.83854166666	54100.56764255563
KNG1	0.6772729790834596	2.235927646289475e-06	77373.21764705882	114808.375	52402.78961709644
IGF2	0.3826305631630189	0.26640605009833757	136899.93529411763	154815.93229166666	52382.09933856908
ORM1	0.2834748731759175	0.06827370034518639	179582.23529411765	207752.15625	50907.05137464778
CYP3A4	2.207398086867941	2.208570736596043e-11	22895.976470588233	91481.625	50540.53465814985
ITIH4	0.779179006145964	8.352846701508425e-10	64786.94117647059	104931.265625	50480.62443711938
COL3A1	-1.8316671561651248	5.479361992550205e-22	26791.9	7645.286458333333	49073.84328126041
SERPINA3	0.4181461604473452	0.0075750703140067335	111839.50588235294	146207.38541666666	46765.25997103416
PTGDS	-3.1192876707500257	5.4379832339606695e-21	14971.9	1920.0625	46701.66307770231
PKM2	-2.499355824927672	1.4382318323450204e-58	18403.917647058825	3097.2447916666665	45997.93877266565
ACTG1	-0.5396388471206188	5.190039458491767e-13	84981.82352941176	56688.901041666664	45859.49327561964
TTR	0.6071229492838999	0.0006619723362559162	73057.05882352941	103602.53645833333	44354.617018948535
HPD	1.4531422057176455	4.385936181535164e-10	28753.564705882352	75567.02083333333	41783.01843895092
ALDOA	-1.3003167537766067	3.392193744676593e-33	31467.45294117647	11900.270833333334	40917.656258088726
A1BG	0.9109913195534067	5.649942679997511e-09	43977.55294117647	80398.55208333333	40063.16898461216
ATP1A1	-1.1012450218859333	2.6946719450588835e-25	35695.59411764706	15721.15625	39309.59532531963
HRG	0.42774545506837025	0.04261118692625405	89029.68823529412	107832.95833333333	38082.04450880101
CES1	0.3247580840334479	0.048253671663065476	116860.93529411765	141978.61458333334	37951.53344447438
ITIH3	0.6904506856342009	2.7658368212558896e-07	54896.34705882353	81414.77604166667	37903.22046557775
SEPP1	0.4153719445772135	0.00014117705302316028	90550.84117647058	113637.96354166667	37612.278982573
COL1A2	-1.7744159859268118	1.594996619560841e-23	21050.282352941176	5992.703125	37351.95751533189
ITIH1	0.6782916055915428	1.736515692908023e-07	51971.211764705884	76832.203125	35251.636672420434
SERPING1	0.377629490253027	8.819137910182096e-05	92527.22352941177	112127.34895833333	34941.008255939654
LOC96610	-1.6852476979623272	2.4935599714214677e-12	20624.264705882353	6068.614583333333	34756.99461775391
A2M	0.28476641943119524	0.07285008823170794	115426.49411764706	132449.828125	32869.58943737827
C4BPA	0.8879091712900855	1.8266290896865113e-08	36806.17058823529	63347.098958333336	32680.536425361515
EEF1A1	-0.26498697439679786	0.0004681297994846235	122376.1294117647	96591.94270833333	32428.080271214516
CLU	0.18736923096682553	0.06576675132410169	172072.51176470588	186305.96354166666	32241.09419988298
TUBA1B	-1.0485913786452943	4.347805031642688e-40	29856.976470588233	13476.072916666666	31307.76811947423
ADAM6	-1.4874177654162257	3.5428043365990962e-09	20797.335294117645	7543.635416666667	30934.32598978847
PLG	0.704370696747736	3.7932877448111947e-06	43853.14705882353	68307.359375	30888.87174840446
CFH	0.4084385511424935	0.00029451919582642027	73699.1705882353	88610.44791666667	30101.582455462296
PSAP	-0.4175561156643425	3.9618261169020353e-11	70577.0411764706	50316.703125	29469.875168729417
FLNA	-1.7353614535845132	6.353877367686084e-36	16301.923529411764	4967.463541666667	28289.729712223576
FTH1	-0.2486927425812474	0.0026037451929847495	109943.5	86343.16666666667	27342.150543981374
AGXT	0.6661261713786912	3.998472451773305e-05	39939.58823529412	58646.145833333336	26604.80499761789
CPS1	0.4551042978605035	0.038198610039247835	57791.135294117645	74788.8125	26300.994050590773
TUBB	-0.6810261499440212	3.4379201618761687e-16	38034.08823529412	21857.489583333332	25902.208677513547
HLA-A	-0.37151107456856247	0.00030645226919406745	69708.8294117647	50553.614583333336	25897.602121681317
CTSD	-0.2678942185836761	0.0015256162955576678	95399.64117647058	74782.44791666667	25557.01232613368
HMGCS2	0.5627539055620653	0.00010541068035860521	45197.72352941176	61572.375	25435.195438690924
HSP90AB1	-0.41925849473881527	5.979746347044082e-08	59069.535294117646	41335.885416666664	24765.404452333085
HLA-DRA	-1.0903670409219826	3.3339888733915406e-14	22389.323529411766	9636.994791666666	24412.580445009626
C1S	0.3078231823565559	0.003203440356968664	78835.2	92132.33333333333	24267.302145715556
SERPINF2	0.6156192137297246	5.417103006106831e-07	39269.01764705883	56222.567708333336	24174.761767821034
PEBP1	0.5076831270364361	7.156779972751728e-12	47437.217647058824	63041.671875	24083.074992966835
SPARC	-0.8538444169221079	4.172448109512285e-14	27724.694117647057	15043.666666666666	23672.575283226146
F2	0.4563769197491966	0.0001987045757905494	51741.529411764706	66159.66145833333	23613.639816053637
ITIH2	0.23980564827740652	0.0599235486653772	96946.27647058823	104638.86458333333	23248.26467711009
SAA1	0.9201451502561624	0.0014837203050754686	24857.176470588234	47151.114583333336	22872.210378473355
CANX	-0.47808279274645993	3.6166905330860838e-12	46610.81764705882	31281.682291666668	22283.82987290186
TPT1	0.25350841860138873	0.0001633266822487182	86336.17647058824	98378.625	21886.94756514925
FABP1	0.5234399100853927	0.0077074439509976994	41124.24117647059	55760.510416666664	21526.06910374177
