mRNA	logFC	FDR	Sub-0	Sub-1	Delta
H19	-3.335144129336095	1.3338868152370382e-28	299505.67403314915	27484.303867403316	998894.5904545074
ALB	0.40154677565069913	0.003910615015082412	2018873.9060773482	2601302.9723756905	810672.3074306916
IGF2	-2.695792617901131	4.571745747685987e-16	254321.67955801106	38483.00552486188	685598.5063247032
HP	1.5092827611624458	2.153639028054675e-18	302090.13812154694	893092.6906077348	455939.437784033
AFP	-5.195832632634366	4.16716315131021e-43	54845.983425414364	1605.0276243093922	284970.5504506915
FGA	0.6791991642833153	3.167660394989867e-07	358231.1988950276	574713.7403314917	243310.33090971285
C3	0.49243001111513207	2.374686378792833e-07	383309.62983425416	542826.0331491713	188753.16527981893
FGB	0.6501565768596511	8.901585269226536e-06	223990.91160220993	352117.95580110495	145629.16433496552
RBP4	0.9626362481301535	9.302662545042728e-17	146050.29281767955	284272.65193370165	140593.30591632135
FTL	-0.2599022024713649	0.022530231099871918	514789.32596685085	448923.9226519337	133794.87962753396
FGG	0.6180658940315631	8.647570397917672e-06	205323.34806629835	311075.17679558013	126903.3586881505
GLUL	1.512851327846046	2.7348535559092317e-13	83274.09392265194	232125.5856353591	125981.32356606034
GAPDH	-0.7502494984420192	5.2114019991386015e-20	143921.47513812155	87117.01657458564	107977.01453741122
AMBP	0.5352071411775948	1.3689875208094156e-06	200274.65193370165	296051.6906077348	107188.42391177433
ALDOB	0.9225499654211341	5.192680474800356e-07	114653.75690607735	216687.6685082873	105773.81946910478
ORM1	0.7062247522300115	2.114678586740236e-06	147201.34806629835	241845.02762430938	103957.23556604523
APOC3	0.9282100047268301	3.616226231644434e-09	107523.60220994476	211979.0	99804.48331553863
CYP2E1	1.3319054212855688	6.557448147548497e-07	73083.9226519337	178682.55801104972	97340.87278892567
APOA2	-0.18889732995613912	0.26087351172512596	503312.29834254144	457447.26519337017	95074.34929099378
APOH	0.6595120310438527	6.657268560954325e-07	141311.27071823203	221841.7679558011	93196.48316076891
SERPINC1	1.2796867531483347	9.61505442173146e-16	71037.32596685083	174210.88397790055	90905.52501885922
APOC1	0.5708181587656287	1.9831710792975704e-06	153304.4364640884	237763.7458563536	87508.95615303324
CES1	1.007933623454348	8.107825554711071e-11	85503.34806629835	174862.6906077348	86181.69943394241
C4A	0.4017393944269383	0.00014868636249482905	212378.3038674033	272876.0331491713	85320.73118511088
RPL8	-0.9147963439330705	2.2109604697780624e-18	89993.97790055249	48656.5138121547	82326.16195941897
CFB	0.5439847009337319	6.029931517671896e-07	136443.60220994474	194266.38121546962	74223.23214249787
SERPING1	1.0383256351307757	1.3854462565596597e-36	67438.53038674033	138407.20994475138	70023.15489609826
APOB	0.37704153354970693	0.0006555590759655618	182413.2375690608	238642.95580110498	68777.3668328057
HPX	1.1044861010169351	6.780572461355412e-15	62248.419889502766	131021.70718232045	68752.51457822195
NTS	-4.241109496619171	2.022685802168771e-15	16065.78453038674	959.3314917127071	68136.75134246057
ADH1B	2.0424430860244653	5.835120635669936e-29	33239.0	136459.03314917127	67888.7657363672
EEF1A1	-0.52629151252694	1.7002673060044107e-13	127319.3867403315	90081.69060773481	67007.11262157149
EPHX1	0.7266252314314219	6.914015540840953e-09	92207.34254143646	152307.32044198894	67000.18161384766
HRG	1.0169029737990603	5.621350901337838e-07	65291.276243093926	132714.11049723756	66394.89297473815
GPC3	-1.6088722343182076	4.924991784794447e-13	39888.93922651934	12552.850828729283	64176.20677795336
TTR	1.1911110553878117	3.109673866096494e-12	53268.70718232044	125247.24309392265	63448.946031078005
ACTG1	-0.7332325743547968	2.0411844058397019e-25	86206.50828729282	53744.756906077346	63209.41999762984
ITIH4	1.128975464756768	4.200715711832052e-21	54101.76243093923	118056.1546961326	61079.56238462986
TMSB10	-1.726896488593388	4.520433615754162e-39	34614.696132596684	10764.911602209944	59775.99720510834
TF	0.20041495728833314	0.15555832136247613	295788.76243093924	341439.364640884	59280.4921889656
ACTB	-0.4302265633988477	4.073950080132919e-11	137731.75138121546	102509.9226519337	59255.858067644825
SEPP1	0.74391361517857	6.222836799315285e-13	77931.88397790055	127660.00552486187	57974.58954767688
AGT	-0.38581963975077305	5.083238819973779e-05	144494.61878453038	110046.6187845304	55748.86176537279
C1S	0.9258835945465245	2.4924264593866398e-23	59187.2817679558	112588.36464088398	54800.53319475289
RPLP0	-0.8562144659955331	6.018187942944208e-29	62583.34254143646	35256.668508287294	53584.76321433155
KNG1	0.6707479287124275	2.254223645413719e-06	73944.18232044199	120512.47513812155	49597.90713177057
SQSTM1	-0.5615585054415807	8.135477081300978e-06	84965.33701657459	58170.60773480663	47713.00766936784
ENO1	-0.8317967797236185	9.480233673981946e-18	57102.5138121547	31756.292817679558	47497.687103073724
PEG10	-2.718648120634402	1.8235108554018787e-17	17441.57458563536	2581.756906077348	47417.50396814232
PKM2	-2.59108263324576	9.122887472476381e-63	17558.75690607735	3012.1657458563536	45496.19008072107
CYP3A4	2.6967464506936314	7.366383280444636e-17	16811.486187845305	101734.30386740332	45336.315707956834
APOE	0.15061556225820943	0.1793707299304447	300643.4143646409	339592.55248618784	45281.576893758225
APOA1	0.16106706453499736	0.3721278321197628	279935.76243093924	317510.0220994475	45088.43151311778
FTH1	-0.39752787890194313	7.306253353567573e-07	110173.34254143646	84679.0497237569	43796.97517203445
A1BG	1.0931834160511293	6.724917318037324e-13	39170.06077348066	87419.47513812155	42820.06084328393
RPS19	-0.981358725814527	8.205078570270957e-25	43184.10497237569	22502.165745856353	42379.098231131386
HPD	1.5386900695821966	1.690497081960206e-11	27109.364640883978	80056.23756906077	41712.910165610905
PLG	1.2093437070725364	4.650592264449278e-17	34054.99447513812	79591.67955801105	41184.193262898276
ALDOA	-1.3568700034123125	9.84266634377016e-37	30266.580110497238	11911.977900552487	41067.81465780942
ATP1A1	-1.1443756416202566	1.4582412642027212e-27	34194.14917127072	16008.685082872928	39130.951397531695
PABPC1	-0.7403028604479857	4.663022718574275e-15	51905.35359116022	31533.08287292818	38425.681736100036
RPS18	-0.728201703005406	5.133379873769125e-18	52170.12154696132	31464.883977900554	37990.37135649626
ITIH1	0.8034711329551691	2.3412581450788204e-10	47207.95027624309	83106.35359116022	37930.22529294433
