mRNA	logFC	FDR	Sub-0	Sub-1	Delta
ALB	-0.43357730824623064	0.0025051540125135274	2549712.925581395	1959617.2517006802	1105497.667074203
HP	-1.0469251719737955	1.855421630773703e-08	762591.0744186046	356265.38095238095	798375.7917313791
FGA	-0.7269228025656138	1.2883066130529589e-07	550562.2139534884	343484.0680272109	400216.2275537989
C3	-0.6155141162725235	2.1602988443496994e-10	535163.7302325581	357621.44897959183	329400.83047520014
CYP2E1	-1.676818617417254	2.8656500428593695e-09	173521.5953488372	56208.09523809524	290964.2416048734
GLUL	-1.3568894964016234	6.570755675825285e-10	208317.76744186046	83666.8163265306	282664.19055569655
CYP3A4	-2.946130542203318	4.120755562681975e-17	90467.1488372093	13648.6462585034	266528.0302553557
RBP4	-0.9682693754317901	1.5324401303373482e-15	266735.03255813953	139730.75510204083	258271.36338084796
ALDOB	-1.0823206878885931	1.5139669625213467e-08	209017.1069767442	102272.92517006803	226223.53900355345
ADH1B	-1.8663581521542782	4.737089037027105e-21	120281.67906976744	33025.73469387755	224488.6922866651
SERPINC1	-1.3631887128258904	3.753918756782541e-16	161753.79534883721	65393.60544217687	220500.9480762839
FGB	-0.624541265124762	4.122403942409649e-05	334090.20930232556	220723.19727891157	208653.12198347095
FTL	0.46979917266708643	2.8926604955382786e-05	423995.9534883721	566482.775510204	199192.94816302968
APOC3	-0.93481916188781	1.2848757116515409e-08	198586.86046511628	102950.9931972789	185642.80246193145
HPD	-2.1674436995429507	1.579056120295995e-19	78267.88837209302	17478.761904761905	169641.24152862397
FGG	-0.5473681312648473	0.00015880419622446476	293654.0372093023	206343.6394557823	160736.86158563374
AMBP	-0.5440870797144018	2.149993449644025e-06	282178.81395348837	198412.40136054423	153529.846841227
HRG	-1.1847836127937617	2.2938936248807727e-08	126087.91162790697	59388.25850340136	149386.89146813218
APOB	-0.6167670678981938	3.208784470093682e-08	241631.94418604652	165036.07482993198	149030.62572616793
APOH	-0.6464774198443238	2.8213104625940497e-06	211467.67441860464	137858.16326530612	136709.07653861906
APOA1	-0.4093787525113848	0.023209253156852	332838.81395348837	248825.45578231293	136257.13844364797
HPX	-1.0471736528515507	2.694345964382293e-12	121328.02325581395	60519.510204081635	127051.5093060486
APOC1	-0.55785955722213	7.708180599324308e-06	225370.0511627907	151896.46258503402	125724.8369528032
ITIH4	-1.118462386213302	9.410889918959419e-19	109827.5953488372	51344.55782312925	122838.03436592942
CFB	-0.6190038592925229	3.401423000205021e-08	190153.87906976746	129084.51020408163	117705.98500362974
EPHX1	-0.7942350160740386	9.5665814364034e-10	145848.67906976744	87752.97959183673	115838.12796535404
H19	1.1283573465018069	0.00020907012540538316	101445.2511627907	254248.0068027211	114466.49441725585
KNG1	-0.940015671167389	8.325877433091352e-11	120092.57209302325	63787.42857142857	112888.8997582413
TTR	-0.992328277197131	4.1696695309080686e-08	111393.96744186047	56882.204081632655	110539.3838017347
VTN	-0.34595933898399794	0.0019438508414908254	312149.52558139537	250190.52380952382	107991.0435343081
TF	-0.2978766677967103	0.03756907545704147	340450.79069767444	286675.99319727893	101412.34708177851
SERPING1	-0.769854403832246	1.1073013138213192e-16	123386.38604651163	72993.23809523809	94989.55267085257
CPS1	-1.1192135880135923	4.388262538860305e-07	84588.19069767442	40799.21088435374	94672.25241432215
SERPINA1	-0.09897522996642183	0.3861768881698253	919063.3395348837	864481.693877551	90964.50538417275
APOA2	-0.17386647911087888	0.317573403601104	509852.11627906974	437273.9863945578	88646.19232467227
CYP2A6	-1.6776472495077945	2.2762068128286767e-08	52343.34418604651	16813.619047619046	87813.66740376073
SAA2	-2.027539192673193	5.739574825376601e-10	41081.320930232556	9264.904761904761	83293.98827283207
A1BG	-1.0276265827727789	1.4766007186815511e-10	80298.94418604652	38424.71428571428	82517.32961416908
IGF2	0.6846031449257141	0.043991972733512144	113506.9488372093	194514.6530612245	77707.21414487562
C4BPA	-1.1925368853091731	9.335071256538716e-14	65148.34418604651	30019.034013605444	77691.80345867788
SEPP1	-0.6480774226108708	2.8604977309053515e-09	119410.19534883721	78496.19047619047	77387.05163513501
PLG	-1.0651691624253727	4.0253083559821805e-12	71776.30232558139	34953.3537414966	76453.90383012986
TAT	-1.8310249868309403	4.658116852379326e-14	41592.902325581395	12292.69387755102	76157.64343295826
C4A	-0.28164477839480084	0.01119494541043429	258503.6	219406.53741496598	72806.18913625824
CES1	-0.47806725740378614	0.004163379191231045	147205.56279069767	105286.10204081633	70374.15967792967
CLU	-0.35609314651739576	0.00046814831558857637	196259.76744186046	155287.22448979592	69886.75812314443
ADH4	-1.7356123882266512	1.120650320419039e-12	38543.13488372093	11314.319727891156	66895.94238527684
GAPDH	0.7362640190160337	5.956421940814675e-19	90620.24186046512	151936.15646258503	66720.42347639106
ITIH3	-0.7781442250796525	1.4800636772863872e-08	82626.31162790698	48975.231292517004	64295.18723288756
PCK1	-1.5341758015433942	2.6404704017824742e-12	41771.86976744186	15694.687074829932	64085.39178243139
C1S	-0.6331680058511949	7.715264508490279e-10	99821.05581395348	65509.28571428572	63203.498851681754
ITIH1	-0.7944289736662532	1.9428076570572667e-09	78314.62790697675	45913.22448979592	62215.40947119405
SAA1	-1.2544094940436943	2.7808604143710203e-05	48905.320930232556	18803.333333333332	61347.29888413751
REG3A	-1.8720273597968373	0.002274623687913288	32506.102325581396	7426.571428571428	60852.312913843976
AOX1	-1.3943780113521278	2.443321059073626e-14	43006.725581395345	16907.517006802722	59967.632490952725
