mRNA	logFC	FDR	Sub-0	Sub-1	Delta
LOC100131193	-0.21884828530752104	0.10809780829029313	50.37948717948718	42.06586826347306	11.025464383903008
TMSB4Y	0.462712083007482	0.10730854524214982	23.784615384615385	33.01197604790419	11.005428928147188
CELA3A	0.4718706889515515	0.5378855885924231	23.25128205128205	32.70059880239521	10.971598480545305
YY2	-0.3515259330963811	0.027402753634700596	31.112820512820512	23.7125748502994	10.936963262029456
ZNF214	0.28092889648073593	0.04766224295415997	38.89230769230769	46.532934131736525	10.925973081589238
DNM1P35	-0.2520297791940393	0.08745578695008158	43.31794871794872	35.047904191616766	10.917413050523333
FBXL15	-0.015350821005077604	0.8568159019789887	711.1846153846154	690.443113772455	10.91726773233419
ZNF658	-0.20084660474271512	0.052960320569221106	54.34871794871795	47.52095808383233	10.91575547211946
IRX3	-0.04818302847002772	0.8424568407182761	225.73333333333332	222.66467065868264	10.876515626634257
PCDHGA3	0.20925505116573898	0.43030240274813536	51.95897435897436	56.10778443113772	10.8726778380065
C19orf57	0.10805669525914953	0.4567431431446833	100.54871794871795	105.26946107784431	10.864962174082795
SPTA1	0.22910437681026746	0.6144787768947756	47.17948717948718	57.395209580838326	10.809027008484414
R3HDM2	0.004603187834305717	0.9556239023052164	2346.948717948718	2387.808383233533	10.803445786200937
ZNF546	-0.09248254952888373	0.2772138792714081	116.50769230769231	108.64670658682634	10.7749284243421
IKZF5	0.015262523971324491	0.8574556492150698	704.6871794871795	708.3233532934132	10.75530496920812
CXorf40A	0.014643577207079326	0.8328346112145731	730.4358974358975	713.2215568862275	10.69619445892484
FAM133A	0.05740521934484203	0.888609546786129	185.28205128205127	180.38323353293413	10.636156794508423
BTN3A1	0.007673351468343449	0.9488634209491443	1385.8666666666666	1329.065868263473	10.634242021594908
C6orf201	0.49936800707450363	1.558832636292951e-05	21.2	29.035928143712574	10.586601749979476
MYO15A	-0.3737014469401433	0.03236147912684951	28.21025641025641	22.05389221556886	10.542213639065272
ACBD7	-0.229162589564115	0.15429318587308033	45.95384615384615	39.75449101796407	10.53090238504633
NEURL2	-0.07891025213898226	0.38946221479406834	132.84615384615384	124.07185628742515	10.482923495694028
VASH2	0.10322478175171367	0.6066233425865493	101.03589743589744	109.0119760479042	10.42940846190904
STYX	0.008623630100366902	0.896001707926499	1208.8564102564103	1211.7005988023952	10.424730526508661
FBXO16	-0.21168877458937746	0.24143036033179055	48.98974358974359	43.449101796407184	10.37057878796063
FBXO24	0.37421768618706935	0.00011474600501564605	27.70769230769231	35.952095808383234	10.368708504967875
APLF	-0.1022363150614107	0.35806783741887244	101.11282051282052	94.67065868263474	10.33740217469659
HIST1H3H	0.2847246745767392	0.1251831897589935	36.261538461538464	43.532934131736525	10.324554738113452
RECQL5	0.008300140565348394	0.9155230233151433	1240.4615384615386	1251.1437125748503	10.296005135139094
HCN2	0.12401386281203325	0.6502661402879572	82.74871794871795	85.88023952095809	10.261988155563941
C9orf43	0.385284639457133	0.0009519709961352714	26.61025641025641	34.52095808383233	10.252523046887504
SPATA7	-0.05372505949141472	0.5328116392214225	190.10256410256412	181.32934131736528	10.213271565880737
FICD	-0.06774114350225668	0.5865028177350741	150.4102564102564	142.5568862275449	10.188962763698402
MBIP	0.018813681824033413	0.8306701138735522	541.3025641025641	540.7425149700599	10.183894211559092
ANKAR	-0.19868994477883817	0.052494442838868415	51.03076923076923	43.91616766467066	10.139300720483172
THG1L	-0.03283134790195077	0.6722736739277047	308.4512820512821	307.8023952095808	10.126871351828385
ZNF720	-0.034179269399083445	0.7226324234400332	295.3025641025641	291.77245508982037	10.093225892701646
TPK1	-0.08767824801758539	0.4575796907421916	114.56923076923077	109.20958083832335	10.045229430568591
THAP10	0.12294944333724056	0.336782745716131	81.12820512820512	89.562874251497	9.974667659462286
C10orf11	-0.0278987354965683	0.7795701598291215	357.1384615384615	342.36526946107784	9.96371147411287
CEP76	-0.04888340492825793	0.6033715417603778	202.95384615384614	192.91616766467067	9.921075043285823
